org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas,quadrant,imd_quintile,prescribing_rate_recent,imd_score_weighted,trend_slope,trend_pvalue,trend_r2,retail_accessibility_binary,ols_fitted,ols_residual,centroid_lat,centroid_lon,kmeans_cluster,bm_node,bm_label,lisa_presc_cluster,lisa_retail_cluster
00L,NHS NORTHUMBERLAND,18.13503519491949,18.03183848395137,23.90887105199012,0,22.14846,0.20717,0.30192,21.42604,0.2935779816513761,109,5,22,82,200,"High prescribing
High retail",Q3,18.985612873599408,21.96293336437589,0.0372,0.0092,0.1093,0.2477064220183486,7.988565206055556,10.997047667543852,55.17541490258209,-1.7963139564007984,3,0,N0: Consistent prescribers,High-High,Not significant
00N,NHS SOUTH TYNESIDE,17.83367889759255,18.316455176984785,22.651545074044176,0,31.29583495145631,0.3170194174757281,0.9758349514563106,23.6522427184466,0.25,40,0,10,30,103,"High prescribing
Low retail","Q5
(most
deprived)",19.184347238662887,31.06145205507105,0.0939,0.0,0.3842,0.25,10.236032542519782,8.948314696143106,54.97386781728922,-1.4494166627534686,7,0,N0: Consistent prescribers,High-High,Not significant
00P,NHS SUNDERLAND,14.422323545089531,14.428468186478709,18.55821742513957,0,32.74859459459459,0.3071729729729729,1.0520918918918918,31.57411351351352,0.3287671232876712,73,2,20,51,185,"High prescribing
High retail","Q5
(most
deprived)",15.418420644927554,32.75979275490789,0.0633,0.0,0.333,0.3013698630136986,11.506536938320528,3.9118837066070262,54.89246062528217,-1.4390960584855326,1,1,"N1: High provision, high deprivation",High-High,Not significant
00Q,NHS BLACKBURN WITH DARWEN,0.0376983664705445,0.0,0.1888048353245514,46,36.68291208791209,0.3650879120879121,0.8011868131868132,35.83616483516484,0.28125,32,1,7,24,91,"Low prescribing
High retail","Q5
(most
deprived)",0.0,36.898780584381,-0.0012,0.0141,0.0978,0.25,12.257740074272691,-12.257740074272691,53.72911913730066,-2.477177295604823,9,2,N2: Deprived withdrawers,Not significant,Not significant
00R,NHS BLACKPOOL,0.0051954049797855,0.0,0.3169197037669213,60,43.52754255319149,0.3776808510638298,1.5288936170212766,38.33063829787234,0.1923076923076923,52,1,8,43,94,"Low prescribing
Low retail (double disadvantage)","Q5
(most
deprived)",0.0243784387513016,43.466861762961706,0.0005,0.1119,0.0423,0.173076923076923,13.317235296613598,-13.292856857862295,53.8176749662439,-3.038391988097561,2,3,N3: Extreme outlier,Not significant,Not significant
00T,NHS BOLTON,20.46069711184221,20.68230767301828,24.34121227113806,0,30.26257627118644,0.3153163841807909,0.495367231638418,26.567073446327687,0.3166666666666666,60,1,17,42,177,"High prescribing
High retail","Q5
(most
deprived)",21.76680894430786,31.41034581969761,0.0574,0.0,0.3551,0.3,10.991417009333396,10.775391934974468,53.57738466559711,-2.4483238872956985,1,0,N0: Consistent prescribers,Not significant,Not significant
00V,NHS BURY,5.96047964718357,6.247639338333269,8.643902195797454,0,22.99150833333333,0.2402,0.306025,19.432266666666667,0.2452830188679245,53,1,11,41,120,"Low prescribing
Low retail (double disadvantage)",Q3,7.012760670261278,24.007768389948097,0.0682,0.0,0.5751,0.2264150943396226,8.116644426941727,-1.1038837566804496,53.570200029448834,-2.303359658530996,6,4,N4: Widespread low provision (deprived),Not significant,Not significant
00X,NHS CHORLEY AND SOUTH RIBBLE,0.0391763497197476,0.0,0.4034942008076984,49,17.439579439252338,0.1818598130841121,0.2153177570093458,15.667654205607477,0.3,60,2,14,44,107,"Low prescribing
High retail",Q2,0.0063895075642261,16.78731554247975,0.0006,0.3795,0.0131,0.2666666666666666,6.530251893382819,-6.523862385818593,53.67814878383753,-2.6656277021729866,0,5,N5: Widespread low provision (less deprived),Not significant,Not significant
00Y,NHS OLDHAM,19.148459520958912,19.11357109447207,23.93520692816813,0,34.67385915492958,0.3426830985915493,0.6061197183098592,33.91074647887324,0.4047619047619047,42,1,15,26,142,"High prescribing
High retail","Q5
(most
deprived)",20.51207400742808,36.829938215440606,0.0793,0.0,0.4114,0.3809523809523809,13.44700640990722,7.0650675975208586,53.54316120421475,-2.104862994229804,10,6,N6: Double provision outlier,High-High,High-High
01A,NHS EAST LANCASHIRE,0.1267474756199396,0.0858366331693758,0.4432823804760563,3,30.560610655737705,0.2831024590163934,0.5228401639344262,27.43869262295082,0.3402061855670103,97,5,23,69,244,"Low prescribing
High retail","Q5
(most
deprived)",0.2248287959205024,31.18166651732678,0.0023,0.0002,0.2116,0.2886597938144329,11.154716935906947,-10.929888139986447,53.79546481328614,-2.27962508368624,9,2,N2: Deprived withdrawers,Not significant,Not significant
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",17.094896824359665,17.24167341847195,22.458543897047218,0,33.24078518518519,0.3329851851851852,0.7533555555555556,31.083125925925923,0.2745098039215686,51,1,12,38,135,"High prescribing
Low retail","Q5
(most
deprived)",19.43378274955065,34.331286666666664,0.0977,0.0,0.6064,0.2549019607843137,11.437106358874304,7.996676390676347,53.59999073219304,-2.172014762492364,1,1,"N1: High provision, high deprivation",High-High,Not significant
01E,NHS GREATER PRESTON,0.0996815128071002,0.0,0.6776717194609577,36,22.89563779527559,0.2281889763779527,0.3968818897637795,20.4178031496063,0.3246753246753247,77,8,9,60,127,"Low prescribing
High retail",Q3,0.1824234061285721,23.538284756960827,0.0044,0.0001,0.2261,0.2207792207792207,8.756110807750193,-8.573687401621621,53.77053177229081,-2.6990275070457663,11,5,N5: Widespread low provision (less deprived),Not significant,Not significant
01F,NHS HALTON,17.265538114426338,19.310664824220325,25.2458083625486,1,32.0666625,0.3014,0.9439,30.7244375,0.2142857142857142,42,1,7,34,80,"High prescribing
Low retail","Q5
(most
deprived)",7.266991590803068,31.11717560151309,-0.2025,0.0,0.3167,0.1904761904761904,9.902675615636904,-2.635684024833836,53.35139846439981,-2.7214102183934274,2,4,N4: Widespread low provision (deprived),Not significant,Not significant
01G,NHS SALFORD,12.280148707559238,12.252605764551635,15.124895836648436,0,31.45201863354037,0.3013291925465838,0.8173043478260871,29.86326708074534,0.3125,64,3,14,47,161,"High prescribing
High retail","Q5
(most
deprived)",12.198810267493656,32.34482802554623,0.0087,0.3253,0.0164,0.265625,11.225274685313606,0.97353558218005,53.49689486423788,-2.3351835522161988,1,1,"N1: High provision, high deprivation",Not significant,Not significant
01H,NHS NORTH CUMBRIA,1.189353009073364,0.4516118591521124,7.541854706145429,1,22.87446376811594,0.1885893719806763,0.233951690821256,25.161096618357487,0.2396694214876033,121,5,19,97,207,"Low prescribing
Low retail (double disadvantage)",Q3,4.248758167638332,22.57908086933057,0.0623,0.0,0.4247,0.1983471074380165,7.641757443590566,-3.392999275952234,54.72547367083664,-3.1157054883749318,6,4,N4: Widespread low provision (deprived),Not significant,Not significant
01J,NHS KNOWSLEY,19.0304589487848,21.88559438383032,25.655071573083124,2,36.88261,0.34726,1.2486,40.20733,0.2580645161290322,31,1,6,24,100,"High prescribing
Low retail","Q5
(most
deprived)",7.72844076057247,36.15694946756032,-0.264,0.0,0.4336,0.2258064516129032,11.812657669426269,-4.084216908853799,53.433286822906055,-2.846700658650907,9,2,N2: Deprived withdrawers,Not significant,Not significant
01K,NHS MORECAMBE BAY,0.1062385774847304,0.0396026744153242,0.4075822894606407,17,21.03617733990148,0.1817487684729064,0.1575467980295566,19.374334975369457,0.3170731707317073,123,10,19,94,203,"Low prescribing
High retail",Q3,0.0448305158081428,20.09511157658365,-0.001,0.2238,0.025,0.2357723577235772,7.669659383463808,-7.6248288676556655,54.17102966226913,-2.905927321087883,0,5,N5: Widespread low provision (less deprived),Not significant,Not significant
01T,NHS SOUTH SEFTON,22.146900287943254,24.18979277866985,28.95811412100869,0,29.68808035714286,0.2824642857142857,0.8202589285714286,28.33067857142857,0.3157894736842105,38,1,10,27,112,"High prescribing
High retail",Q4,12.319649389505036,29.47746829003139,-0.1946,0.0001,0.2351,0.2894736842105263,10.41472169273883,1.9049276967662063,53.48012235655444,-2.988221946095989,1,0,N0: Consistent prescribers,Not significant,Not significant
