items,quantity,actual_cost,date,row_id,row_name,ccg,setting
1,90.0,878.02,2021-05-01,A81044,MCKENZIE HOUSE SURGERY,16C,4
1,28.0,71.5,2021-05-01,B81061,THE RIDINGS MEDICAL GROUP,02Y,4
1,2.0,5.22,2021-05-01,B85019,MIRFIELD HEALTH CENTRE,X2C4Y,4
1,4200.0,56.1,2021-05-01,B86062,THE MEDICAL CENTRE,15F,4
1,60.0,1054.85,2021-05-01,C81065,BUXTON MEDICAL PRACTICE,15M,4
1,500.0,15.72,2021-05-01,C82024,SPINNEY HILL MEDICAL CENTRE,04C,4
1,500.0,15.72,2021-05-01,E81048,BUTE HOUSE MEDICAL CENTRE,M1J4Y,4
1,4000.0,43.54,2021-05-01,E83041,WAKEMANS HILL SURGERY,93C,4
1,1000.0,10.9,2021-05-01,E83053,LANE END MEDICAL GROUP,93C,4
1,4000.0,43.54,2021-05-01,E84006,THE LAW MEDICAL GROUP PRACTICE,W2U3Z,4
1,500.0,8.52,2021-05-01,E84058,GP DIRECT,W2U3Z,4
2,1000.0,10.9,2021-05-01,E84709,WEMBLEY PARK MEDICAL CENTRE,W2U3Z,4
1,9480.0,101.95,2021-05-01,E85001,THORNBURY ROAD CENTRE FOR HEALTH,W2U3Z,4
1,1368.0,15.3,2021-05-01,E85012,KS MEDICAL CENTRE,W2U3Z,4
1,1000.0,3.48,2021-05-01,E85023,CHEPSTOW GARDENS MEDICAL CENTRE,W2U3Z,4
1,500.0,5.45,2021-05-01,E85656,SUNRISE MEDICAL CENTRE,W2U3Z,4
1,2500.0,27.22,2021-05-01,E87008,PADDINGTON GREEN HEALTH CENTRE,W2U3Z,4
1,500.0,5.45,2021-05-01,E87751,SRIKRISHNAMURTHY HARROW ROAD SURGERY,W2U3Z,4
1,500.0,5.45,2021-05-01,F83025,THE REGENTS PARK PRACTICE,93C,4
1,90.0,878.02,2021-05-01,F85019,MORRIS HOUSE GROUP PRACTICE,93C,4
2,240.0,2341.37,2021-05-01,G83067,VALENTINE HEALTH PARTNERSHIP,72Q,4
1,500.0,5.45,2021-05-01,G84607,WICKHAM PARK SURGERY,72Q,4
1,500.0,8.52,2021-05-01,G85045,HETHERINGTON GROUP PRACTICE,72Q,4
1,14.0,35.76,2021-05-01,J81087,THE BIRCHWOOD PRACTICE,11J,4
1,14.0,35.76,2021-05-01,J83027,HAWTHORN MEDICAL CENTRE,92G,4
1,500.0,8.52,2021-05-01,K84035,THE BELL SURGERY,10Q,4
1,100.0,4.31,2021-05-01,M85016,HILLCREST SURGERY,15E,4
