measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",2021-04-01,3789.5858700000003,1052.7179999999998,3.5998110320142724,39.62264150943396
glutenfree,ccg,99A,NHS LIVERPOOL,2021-04-01,11003.00652,554.3889999999999,19.847086648544618,82.0754716981132
glutenfree,ccg,01V,NHS SOUTHPORT AND FORMBY,2021-04-01,3442.2486,125.66200000000002,27.392915917301963,100.0
glutenfree,ccg,06Q,NHS MID ESSEX,2021-04-01,0.0,400.224,0.0,0.0
glutenfree,ccg,02E,NHS WARRINGTON,2021-04-01,3759.06404,220.72499999999997,17.03053138520784,68.86792452830188
glutenfree,ccg,01K,NHS MORECAMBE BAY,2021-04-01,13.20127,351.4419999999999,0.03756315409085995,7.547169811320755
glutenfree,ccg,26A,NHS NORFOLK AND WAVENEY,2021-04-01,459.98312,1073.9829999999995,0.4282964627931729,23.58490566037736
glutenfree,ccg,00L,NHS NORTHUMBERLAND,2021-04-01,6154.673489999998,331.11299999999994,18.587834032490417,78.30188679245283
glutenfree,ccg,15E,NHS BIRMINGHAM AND SOLIHULL,2021-04-01,37539.44356,1553.4080000000006,24.16586213023236,96.22641509433963
glutenfree,ccg,01W,NHS STOCKPORT,2021-04-01,5748.5066,317.86300000000006,18.08485605433787,71.69811320754717
glutenfree,ccg,72Q,NHS SOUTH EAST LONDON,2021-04-01,7496.694970000001,2018.6739999999995,3.713672920937211,40.56603773584906
glutenfree,ccg,03N,NHS SHEFFIELD,2021-04-01,4494.034049999999,614.2589999999999,7.316187552807529,47.16981132075472
glutenfree,ccg,03Q,NHS VALE OF YORK,2021-04-01,5491.444670000001,249.325,22.025246846485516,85.84905660377359
glutenfree,ccg,06N,NHS HERTS VALLEYS,2021-04-01,177.50575999999998,662.2549999999999,0.26803234403666265,20.754716981132077
glutenfree,ccg,05G,NHS NORTH STAFFORDSHIRE,2021-04-01,647.17934,217.183,2.9798802852893647,34.90566037735849
glutenfree,ccg,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",2021-04-01,28400.35236999999,1841.8479999999997,15.419487585294766,64.15094339622641
glutenfree,ccg,00P,NHS SUNDERLAND,2021-04-01,3910.04949,284.34600000000006,13.751026882741446,59.43396226415094
glutenfree,ccg,01A,NHS EAST LANCASHIRE,2021-04-01,30.70569,391.1919999999999,0.07849263277367638,10.377358490566039
glutenfree,ccg,36L,NHS SOUTH WEST LONDON,2021-04-01,5644.400000000001,1710.9720000000007,3.2989435244995233,38.67924528301887
glutenfree,ccg,X2C4Y,NHS KIRKLEES,2021-04-01,87.45627999999999,447.83099999999985,0.19528857984373574,15.09433962264151
glutenfree,ccg,05D,NHS EAST STAFFORDSHIRE,2021-04-01,795.42065,146.31599999999997,5.436320361409553,44.339622641509436
glutenfree,ccg,97R,NHS EAST SUSSEX,2021-04-01,7467.837539999999,562.6759999999999,13.272002964405804,56.60377358490566
glutenfree,ccg,06K,NHS EAST AND NORTH HERTFORDSHIRE,2021-04-01,597.15299,612.7819999999999,0.9744949916936204,27.358490566037734
glutenfree,ccg,15M,NHS DERBY AND DERBYSHIRE,2021-04-01,1011.8748699999999,1100.2050000000004,0.9197148440517899,26.41509433962264
glutenfree,ccg,06T,NHS NORTH EAST ESSEX,2021-04-01,729.2184100000001,361.39,2.0178156838872137,30.18867924528302
glutenfree,ccg,99E,NHS BASILDON AND BRENTWOOD,2021-04-01,837.1911,284.0700000000001,2.9471295807371414,33.0188679245283
glutenfree,ccg,W2U3Z,NHS NORTH WEST LONDON,2021-04-01,21036.150120000002,2664.4190000000017,7.895210970947133,49.056603773584904
glutenfree,ccg,27D,NHS CHESHIRE,2021-04-01,10124.491080000002,786.5600000000001,12.871861116761595,52.83018867924528
glutenfree,ccg,11X,NHS SOMERSET,2021-04-01,536.1420400000001,588.3790000000002,0.9112188572331776,25.471698113207548
glutenfree,ccg,U2G6B,NHS THAMES VALLEY ICB - U2G6B,2021-04-01,5770.340680000002,429.421,13.437490667666468,57.54716981132076
glutenfree,ccg,02X,NHS DONCASTER,2021-04-01,6047.520160000002,326.1109999999999,18.544361153104322,77.35849056603774
