"node_id","component","org_id","org_name","prescribing_rate_recent","retail_accessibility_score","imd_score_weighted","months_zero","trend_slope"
0,1,"00L","NHS NORTHUMBERLAND",18.9856128735994,0.293577981651376,21.9629333643759,0,0.0372
0,1,"00N","NHS SOUTH TYNESIDE",19.1843472386629,0.25,31.0614520550711,0,0.0939
0,1,"00T","NHS BOLTON",21.7668089443079,0.316666666666667,31.4103458196976,0,0.0574
0,1,"01T","NHS SOUTH SEFTON",12.319649389505,0.315789473684211,29.4774682900314,0,-0.1946
0,1,"01V","NHS SOUTHPORT AND FORMBY",12.2964846462515,0.260869565217391,19.110001670858,3,-0.2571
0,1,"01W","NHS STOCKPORT",18.6010217711902,0.247058823529412,18.4042314134681,0,0.0453
0,1,"02H","NHS WIGAN BOROUGH",22.3109150562682,0.234042553191489,25.2055198165346,0,-0.0087
0,1,"02P","NHS BARNSLEY",23.4695400425404,0.258064516129032,30.0571934688048,0,0.0588
0,1,"02Q","NHS BASSETLAW",20.6532652117184,0.314285714285714,22.5404484143851,0,0.0146
0,1,"03K","NHS NORTH LINCOLNSHIRE",22.6806072260526,0.216666666666667,23.4729548049505,0,0.0122
0,1,"03N","NHS SHEFFIELD",21.8801124685452,0.29746835443038,27.5737567407234,0,0.3646
0,1,"07H","NHS WEST ESSEX",10.7649126239092,0.323943661971831,15.1277489196841,0,-0.0522
0,1,"11J","NHS DORSET",16.463759390394,0.298850574712644,16.9053108309625,0,-0.0626
0,1,"13T","NHS NEWCASTLE GATESHEAD",16.7622879942946,0.308270676691729,28.5571915534458,0,0.0378
0,1,"16C","NHS TEES VALLEY",18.257147410955,0.257777777777778,31.3714827977008,0,0.0317
0,1,"70F","NHS WEST SUSSEX",16.4456859292841,0.308550185873606,14.8000030152093,0,0.0076
0,1,"91Q","NHS KENT AND MEDWAY",9.8765425575639,0.341004184100418,21.2499403238599,0,0.0473
0,1,"92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",19.9762581488035,0.280936454849498,14.2805709975075,0,0.0281
0,1,"97R","NHS EAST SUSSEX",13.3271400326283,0.366666666666667,21.2299366759406,0,0.0174
0,1,"99C","NHS NORTH TYNESIDE",21.8725360033508,0.288461538461538,20.9320630747891,0,0.0828
