"org_id","bm_node"
"00L",0
"00N",0
"00T",0
"01T",0
"01V",0
"01W",0
"02H",0
"02P",0
"02Q",0
"03K",0
"03N",0
"07H",0
"11J",0
"13T",0
"16C",0
"70F",0
"91Q",0
"92G",0
"97R",0
"99C",0
"B2M3M",0
"U2G6B",0
"00P",1
"01D",1
"01G",1
"01Y",1
"15E",1
"93C",1
"99A",1
"00Q",2
"01A",2
"01J",2
"01X",2
"02T",2
"03L",2
"03R",2
"10R",2
"12F",2
"36J",2
"00R",3
"04C",3
"00V",4
"01F",4
"01H",4
"02E",4
"02G",4
"02M",4
"03H",4
"05D",4
"05Q",4
"05W",4
"06H",4
"06L",4
"06T",4
"09D",4
"11N",4
"11X",4
"15C",4
"15F",4
"15M",4
"15N",4
"18C",4
"42D",4
"52R",4
"71E",4
"72Q",4
"78H",4
"99E",4
"99G",4
"A3A8R",4
"M1J4Y",4
"M2L0M",4
"X2C4Y",4
"00X",5
"01E",5
"01K",5
"03W",5
"04Y",5
"05G",5
"06N",5
"06Q",5
"07G",5
"11M",5
"15A",5
"26A",5
"27D",5
"36L",5
"D9Y0V",5
"W2U3Z",5
"00Y",6
"02A",7
"06K",7
"07K",7
"92A",7
"99F",7
"02X",8
"03F",8
"14L",8
"84H",8
"D2P2L",8
"02Y",9
"03Q",9
"04V",10
"05V",10
"10Q",11
"14Y",11
