node_id,node_label,equity_concern,component,org_id,org_name,prescribing_rate_recent,retail_accessibility_score,imd_score_weighted,months_zero,trend_slope
0,Consistent prescribers,Medium,main,02P,NHS BARNSLEY,23.47,0.258,30.057,0,0.0588
0,Consistent prescribers,Medium,main,03K,NHS NORTH LINCOLNSHIRE,22.681,0.217,23.473,0,0.0122
0,Consistent prescribers,Medium,main,02H,NHS WIGAN BOROUGH,22.311,0.234,25.206,0,-0.0087
0,Consistent prescribers,Medium,main,03N,NHS SHEFFIELD,21.88,0.297,27.574,0,0.3646
0,Consistent prescribers,Medium,main,99C,NHS NORTH TYNESIDE,21.873,0.288,20.932,0,0.0828
0,Consistent prescribers,Medium,main,00T,NHS BOLTON,21.767,0.317,31.41,0,0.0574
0,Consistent prescribers,Medium,main,02Q,NHS BASSETLAW,20.653,0.314,22.54,0,0.0146
0,Consistent prescribers,Medium,main,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",19.976,0.281,14.281,0,0.0281
0,Consistent prescribers,Medium,main,00N,NHS SOUTH TYNESIDE,19.184,0.25,31.061,0,0.0939
0,Consistent prescribers,Medium,main,00L,NHS NORTHUMBERLAND,18.986,0.294,21.963,0,0.0372
0,Consistent prescribers,Medium,main,01W,NHS STOCKPORT,18.601,0.247,18.404,0,0.0453
0,Consistent prescribers,Medium,main,16C,NHS TEES VALLEY,18.257,0.258,31.371,0,0.0317
0,Consistent prescribers,Medium,main,B2M3M,NHS COVENTRY AND WARWICKSHIRE,17.927,0.292,19.975,0,0.006
0,Consistent prescribers,Medium,main,13T,NHS NEWCASTLE GATESHEAD,16.762,0.308,28.557,0,0.0378
0,Consistent prescribers,Medium,main,11J,NHS DORSET,16.464,0.299,16.905,0,-0.0626
0,Consistent prescribers,Medium,main,70F,NHS WEST SUSSEX,16.446,0.309,14.8,0,0.0076
0,Consistent prescribers,Medium,main,01T,NHS SOUTH SEFTON,12.32,0.316,29.477,0,-0.1946
