node_id,node_label,equity_concern,component,areas,mean_prescribing,mean_retail,mean_imd,mean_months_zero,mean_slope
0,Consistent prescribers,Medium,main,21,17.816,0.286,22.752,0.143,0.017
1,"High provision, high deprivation",Medium,main,12,16.272,0.317,31.275,0.0,0.036
2,Deprived withdrawers,High,main,11,2.03,0.285,31.227,12.182,-0.116
3,Extreme outlier — isolated,Critical,isolated,2,0.418,0.188,38.958,30.0,-0.094
4,Widespread low provision (deprived),High,main,39,3.033,0.252,22.341,4.077,-0.049
5,Widespread low provision (less deprived),Medium,main,43,2.329,0.286,19.061,5.674,-0.048
6,Double provision outlier,Low,main,2,19.946,0.402,33.333,0.0,0.075
7,Affluent retail-only,Low,main,6,3.117,0.397,14.744,3.833,0.012
8,Deprived NHS-dependent,High,main,14,19.482,0.24,30.702,0.071,0.053
9,Highest prescribers,Medium,main,7,22.806,0.251,18.704,0.0,0.05
10,Structural double disadvantage,High,main,18,2.154,0.234,18.013,3.889,-0.032
11,"Moderate provision, least deprived",Low,main,13,12.437,0.323,15.584,0.0,-0.006
