org_id,org_name,lisa_presc_cluster,lisa_presc_pvalue,lisa_retail_cluster,lisa_retail_pvalue
02P,NHS BARNSLEY,Not significant,0.1921921921921922,Not significant,0.1831831831831832
99E,NHS BASILDON AND BRENTWOOD,Not significant,0.11211211211211211,Not significant,0.973973973973974
02Q,NHS BASSETLAW,High-High,0.012012012012012012,Not significant,0.95995995995996
00Q,NHS BLACKBURN WITH DARWEN,Not significant,0.8048048048048048,Not significant,0.4644644644644645
00R,NHS BLACKPOOL,Not significant,0.13413413413413414,Not significant,0.13813813813813813
00T,NHS BOLTON,Not significant,0.3263263263263263,Not significant,0.3993993993993994
09D,NHS BRIGHTON AND HOVE,Not significant,0.43043043043043044,Not significant,0.993993993993994
00V,NHS BURY,Not significant,0.6016016016016016,Not significant,0.8708708708708709
02T,NHS CALDERDALE,Not significant,0.7707707707707707,Not significant,0.5585585585585585
04Y,NHS CANNOCK CHASE,Not significant,0.6776776776776777,Not significant,0.986986986986987
99F,NHS CASTLE POINT AND ROCHFORD,Not significant,0.06006006006006006,High-High,0.01901901901901902
00X,NHS CHORLEY AND SOUTH RIBBLE,Not significant,0.24524524524524524,Not significant,0.5355355355355356
02X,NHS DONCASTER,High-High,0.009009009009009009,Low-Low,0.025025025025025027
11J,NHS DORSET,Not significant,0.8778778778778779,Not significant,0.2702702702702703
06K,NHS EAST AND NORTH HERTFORDSHIRE,Not significant,0.057057057057057055,High-High,0.0
01A,NHS EAST LANCASHIRE,Not significant,0.8778778778778779,Not significant,0.4174174174174174
03W,NHS EAST LEICESTERSHIRE AND RUTLAND,Not significant,0.14114114114114115,Not significant,0.7357357357357357
02Y,NHS EAST RIDING OF YORKSHIRE,High-High,0.0,Low-Low,0.02002002002002002
05D,NHS EAST STAFFORDSHIRE,Not significant,0.6306306306306306,Not significant,0.48148148148148145
11M,NHS GLOUCESTERSHIRE,Not significant,0.5895895895895896,Not significant,0.34234234234234234
01F,NHS HALTON,Not significant,0.43543543543543545,Not significant,0.19019019019019018
06N,NHS HERTS VALLEYS,Not significant,0.09109109109109109,High-High,0.04804804804804805
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",High-High,0.018018018018018018,Not significant,0.6786786786786787
03F,NHS HULL,High-High,0.001001001001001001,Low-Low,0.009009009009009009
06L,NHS IPSWICH AND EAST SUFFOLK,Not significant,0.07607607607607608,Not significant,0.986986986986987
11N,NHS CORNWALL AND THE ISLES OF SCILLY,Not significant,0.07007007007007007,Not significant,0.13113113113113112
01J,NHS KNOWSLEY,Not significant,0.44744744744744747,Not significant,0.43743743743743746
04C,NHS LEICESTER CITY,Not significant,0.14714714714714713,Low-Low,0.028028028028028028
99A,NHS LIVERPOOL,Not significant,0.4494494494494494,Not significant,0.8328328328328328
06Q,NHS MID ESSEX,Low-Low,0.037037037037037035,Not significant,0.32232232232232233
06T,NHS NORTH EAST ESSEX,Low-Low,0.043043043043043044,Not significant,0.06406406406406406
03H,NHS NORTH EAST LINCOLNSHIRE,High-High,0.01001001001001001,Low-Low,0.007007007007007007
03K,NHS NORTH LINCOLNSHIRE,High-High,0.0,Low-Low,0.007007007007007007
05G,NHS NORTH STAFFORDSHIRE,Not significant,0.4724724724724725,Not significant,0.918918918918919
99C,NHS NORTH TYNESIDE,High-High,0.002002002002002002,Not significant,0.5755755755755756
00L,NHS NORTHUMBERLAND,High-High,0.0,Not significant,0.6436436436436437
00Y,NHS OLDHAM,High-High,0.01001001001001001,High-High,0.037037037037037035
10Q,NHS OXFORDSHIRE,Not significant,0.8358358358358359,Not significant,0.12012012012012012
10R,NHS PORTSMOUTH,Not significant,0.13113113113113112,Not significant,0.6056056056056056
03L,NHS ROTHERHAM,Not significant,0.9819819819819819,Low-Low,0.042042042042042045
01G,NHS SALFORD,Not significant,0.23123123123123124,Not significant,0.17917917917917917
03N,NHS SHEFFIELD,Not significant,0.09109109109109109,Not significant,0.7947947947947948
11X,NHS SOMERSET,Not significant,0.22422422422422422,Not significant,0.46546546546546547
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,Not significant,0.8088088088088088,Not significant,0.5645645645645646
01T,NHS SOUTH SEFTON,Not significant,0.6816816816816816,Not significant,0.6246246246246246
00N,NHS SOUTH TYNESIDE,High-High,0.004004004004004004,Not significant,0.6536536536536537
99G,NHS SOUTHEND,Not significant,0.057057057057057055,Not significant,0.7857857857857858
01V,NHS SOUTHPORT AND FORMBY,Not significant,0.7277277277277278,Not significant,0.34434434434434436
01X,NHS ST HELENS,Not significant,0.5655655655655656,Not significant,0.21621621621621623
05V,NHS STAFFORD AND SURROUNDS,Not significant,0.5875875875875876,Not significant,0.2082082082082082
01W,NHS STOCKPORT,High-High,0.02002002002002002,Not significant,0.8798798798798799
05W,NHS STOKE ON TRENT,Not significant,0.44144144144144143,Not significant,0.8658658658658659
00P,NHS SUNDERLAND,High-High,0.01001001001001001,Not significant,0.8838838838838838
07G,NHS THURROCK,Not significant,0.3053053053053053,High-High,0.011011011011011011
02A,NHS TRAFFORD,Not significant,0.9409409409409409,Not significant,0.8528528528528528
03Q,NHS VALE OF YORK,High-High,0.001001001001001001,Low-Low,0.035035035035035036
03R,NHS WAKEFIELD,Not significant,0.9719719719719719,Not significant,0.8508508508508509
02E,NHS WARRINGTON,Not significant,0.5575575575575575,Not significant,0.2852852852852853
07H,NHS WEST ESSEX,Not significant,0.7907907907907908,High-High,0.013013013013013013
02G,NHS WEST LANCASHIRE,Not significant,0.2502502502502503,Not significant,0.38538538538538536
04V,NHS WEST LEICESTERSHIRE,Not significant,0.27627627627627627,Low-Low,0.004004004004004004
07K,NHS WEST SUFFOLK,Not significant,0.0970970970970971,High-High,0.007007007007007007
02H,NHS WIGAN BOROUGH,Not significant,0.8488488488488488,Not significant,0.5045045045045045
12F,NHS WIRRAL,Not significant,0.4694694694694695,Not significant,0.48148148148148145
13T,NHS NEWCASTLE GATESHEAD,High-High,0.006006006006006006,Not significant,0.7367367367367368
01H,NHS NORTH CUMBRIA,Not significant,0.5715715715715716,Not significant,0.15415415415415415
14L,NHS MANCHESTER,High-High,0.02002002002002002,Not significant,0.9159159159159159
