kmeans_cluster,areas,mean_prescribing,mean_retail,mean_imd,mean_months_zero,mean_slope
0,20,1.297,0.29,16.602,6.25,-0.046
1,8,18.214,0.308,31.403,0.0,0.062
2,6,2.288,0.198,32.933,17.833,-0.058
3,8,21.527,0.275,18.341,0.0,0.05
4,9,1.381,0.278,26.044,4.778,-0.131
5,7,13.486,0.306,14.769,0.429,-0.049
6,16,3.445,0.224,19.161,3.25,-0.037
7,11,20.379,0.234,30.619,0.0,0.044
8,5,2.987,0.405,13.947,4.6,0.008
9,5,2.876,0.299,35.206,10.4,-0.09
10,2,19.947,0.402,33.333,0.0,0.075
11,9,5.433,0.34,22.299,4.667,0.004
